Signal,J1_IntF2,J2_IntDF2,J3_PSD_gt_10Hz,J3_PSD_gt_25Hz,J3_PSD_gt_40Hz
F1,0.710553061141491,0.0220232740729308,8.3066986869895e-09,7.04078226036088e-10,1.33206405377966e-10
F2,0.71068448056769,0.0291868471078747,8.6052180693095e-09,6.85676932388493e-10,2.29000461553999e-10
Fsum,2.84247265181724,0.0961925934776461,3.55001606394214e-09,6.73170295243317e-10,1.94147908999818e-10
Fn,1.42123754170918,0.0481378170079044,1.77786615099596e-09,3.36346664806764e-10,9.78085389435697e-11
